Country,Category,Year,value
Austria,Food and non-alcoholic beverages,1996,14.449000000000002
Austria,"Alcoholic Beverages, Tobacco, and Narcotics",1996,3.907
Austria,Clothing and footwear,1996,8.286
Austria,"Housing, Water, Electricity, Gas and Other Fuels",1996,13.531
Austria,"Furnishings, household equipment and routine household maintenance",1996,9.929
Austria,Health,1996,0.413
Austria,Transport,1996,14.706
Austria,Communication,1996,2.243
Austria,Recreation and culture,1996,11.465
Austria,Education,1996,0.22599999999999998
Austria,Restaurants and hotels,1996,15.808000000000003
Austria,Miscellaneous goods and services,1996,5.037
Belgium,Food and non-alcoholic beverages,1996,20.453
Belgium,"Alcoholic Beverages, Tobacco, and Narcotics",1996,3.789
Belgium,Clothing and footwear,1996,8.732
Belgium,"Housing, Water, Electricity, Gas and Other Fuels",1996,15.613999999999997
Belgium,"Furnishings, household equipment and routine household maintenance",1996,9.173
Belgium,Health,1996,0.872
Belgium,Transport,1996,13.512000000000002
Belgium,Communication,1996,2.372
Belgium,Recreation and culture,1996,12.476
Belgium,Education,1996,0.0
Belgium,Restaurants and hotels,1996,7.056
Belgium,Miscellaneous goods and services,1996,5.951
Bulgaria,Food and non-alcoholic beverages,1996,
Bulgaria,"Alcoholic Beverages, Tobacco, and Narcotics",1996,
Bulgaria,Clothing and footwear,1996,
Bulgaria,"Housing, Water, Electricity, Gas and Other Fuels",1996,
Bulgaria,"Furnishings, household equipment and routine household maintenance",1996,
Bulgaria,Health,1996,
Bulgaria,Transport,1996,
Bulgaria,Communication,1996,
Bulgaria,Recreation and culture,1996,
Bulgaria,Education,1996,
Bulgaria,Restaurants and hotels,1996,
Bulgaria,Miscellaneous goods and services,1996,
Croatia,Food and non-alcoholic beverages,1996,
Croatia,"Alcoholic Beverages, Tobacco, and Narcotics",1996,
Croatia,Clothing and footwear,1996,
Croatia,"Housing, Water, Electricity, Gas and Other Fuels",1996,
Croatia,"Furnishings, household equipment and routine household maintenance",1996,
Croatia,Health,1996,
Croatia,Transport,1996,
Croatia,Communication,1996,
Croatia,Recreation and culture,1996,
Croatia,Education,1996,
Croatia,Restaurants and hotels,1996,
Croatia,Miscellaneous goods and services,1996,
Cyprus,Food and non-alcoholic beverages,1996,24.817248172481722
Cyprus,"Alcoholic Beverages, Tobacco, and Narcotics",1996,2.7140271402714027
Cyprus,Clothing and footwear,1996,12.458124581245812
Cyprus,"Housing, Water, Electricity, Gas and Other Fuels",1996,5.911059110591106
Cyprus,"Furnishings, household equipment and routine household maintenance",1996,6.925069250692507
Cyprus,Health,1996,1.4020140201402014
Cyprus,Transport,1996,24.269242692426925
Cyprus,Communication,1996,1.6390163901639017
Cyprus,Recreation and culture,1996,6.025060250602507
Cyprus,Education,1996,0.5030050300503006
Cyprus,Restaurants and hotels,1996,7.076070760707608
Cyprus,Miscellaneous goods and services,1996,6.260062600626007
Czech Republic,Food and non-alcoholic beverages,1996,27.645999999999997
Czech Republic,"Alcoholic Beverages, Tobacco, and Narcotics",1996,5.3500000000000005
Czech Republic,Clothing and footwear,1996,8.117
Czech Republic,"Housing, Water, Electricity, Gas and Other Fuels",1996,12.139000000000001
Czech Republic,"Furnishings, household equipment and routine household maintenance",1996,8.061000000000002
Czech Republic,Health,1996,1.0310000000000001
Czech Republic,Transport,1996,10.825000000000001
Czech Republic,Communication,1996,1.9180000000000001
Czech Republic,Recreation and culture,1996,12.108
Czech Republic,Education,1996,0.202
Czech Republic,Restaurants and hotels,1996,6.869
Czech Republic,Miscellaneous goods and services,1996,5.734000000000001
Denmark,Food and non-alcoholic beverages,1996,17.379
Denmark,"Alcoholic Beverages, Tobacco, and Narcotics",1996,5.941
Denmark,Clothing and footwear,1996,6.012
Denmark,"Housing, Water, Electricity, Gas and Other Fuels",1996,19.425
Denmark,"Furnishings, household equipment and routine household maintenance",1996,6.583
Denmark,Health,1996,0.739
Denmark,Transport,1996,17.992
Denmark,Communication,1996,2.314
Denmark,Recreation and culture,1996,9.991
Denmark,Education,1996,0.333
Denmark,Restaurants and hotels,1996,6.6930000000000005
Denmark,Miscellaneous goods and services,1996,6.598000000000001
Estonia,Food and non-alcoholic beverages,1996,36.456635433645666
Estonia,"Alcoholic Beverages, Tobacco, and Narcotics",1996,6.325936740632594
Estonia,Clothing and footwear,1996,7.612923870761292
Estonia,"Housing, Water, Electricity, Gas and Other Fuels",1996,21.58978410215898
Estonia,"Furnishings, household equipment and routine household maintenance",1996,6.109938900610994
Estonia,Health,1996,1.3369866301336986
Estonia,Transport,1996,6.528934710652893
Estonia,Communication,1996,2.076979230207698
Estonia,Recreation and culture,1996,5.279947200527994
Estonia,Education,1996,0.14499855001449985
Estonia,Restaurants and hotels,1996,3.097969020309797
Estonia,Miscellaneous goods and services,1996,3.4389656103438964
Finland,Food and non-alcoholic beverages,1996,19.055000000000003
Finland,"Alcoholic Beverages, Tobacco, and Narcotics",1996,7.784999999999999
Finland,Clothing and footwear,1996,5.694
Finland,"Housing, Water, Electricity, Gas and Other Fuels",1996,16.833000000000002
Finland,"Furnishings, household equipment and routine household maintenance",1996,5.6739999999999995
Finland,Health,1996,1.592
Finland,Transport,1996,16.484
Finland,Communication,1996,2.629
Finland,Recreation and culture,1996,12.2
Finland,Education,1996,0.185
Finland,Restaurants and hotels,1996,8.071
Finland,Miscellaneous goods and services,1996,3.798
France,Food and non-alcoholic beverages,1996,19.215
France,"Alcoholic Beverages, Tobacco, and Narcotics",1996,4.553000000000001
France,Clothing and footwear,1996,7.601000000000001
France,"Housing, Water, Electricity, Gas and Other Fuels",1996,13.446000000000002
France,"Furnishings, household equipment and routine household maintenance",1996,7.696
France,Health,1996,0.468
France,Transport,1996,18.705000000000002
France,Communication,1996,2.0500000000000003
France,Recreation and culture,1996,9.036000000000001
France,Education,1996,0.37800000000000006
France,Restaurants and hotels,1996,9.212000000000002
France,Miscellaneous goods and services,1996,7.640000000000001
Germany,Food and non-alcoholic beverages,1996,15.318000000000001
Germany,"Alcoholic Beverages, Tobacco, and Narcotics",1996,4.876
Germany,Clothing and footwear,1996,8.039
Germany,"Housing, Water, Electricity, Gas and Other Fuels",1996,21.317
Germany,"Furnishings, household equipment and routine household maintenance",1996,8.249
Germany,Health,1996,0.36100000000000004
Germany,Transport,1996,15.712000000000002
Germany,Communication,1996,2.654
Germany,Recreation and culture,1996,12.014000000000001
Germany,Education,1996,0.23700000000000004
Germany,Restaurants and hotels,1996,5.4060000000000015
Germany,Miscellaneous goods and services,1996,5.817000000000001
Greece,Food and non-alcoholic beverages,1996,
Greece,"Alcoholic Beverages, Tobacco, and Narcotics",1996,
Greece,Clothing and footwear,1996,
Greece,"Housing, Water, Electricity, Gas and Other Fuels",1996,
Greece,"Furnishings, household equipment and routine household maintenance",1996,
Greece,Health,1996,
Greece,Transport,1996,
Greece,Communication,1996,
Greece,Recreation and culture,1996,
Greece,Education,1996,
Greece,Restaurants and hotels,1996,
Greece,Miscellaneous goods and services,1996,
Hungary,Food and non-alcoholic beverages,1996,25.617
Hungary,"Alcoholic Beverages, Tobacco, and Narcotics",1996,6.864000000000001
