currency;country;Year;Month;OBS_VALUE
EUR;Albania;1999;7;45.12
EUR;Albania;2000;1;46.98
EUR;Albania;2000;7;52.36
EUR;Albania;2001;1;52.80
EUR;Albania;2001;7;60.13
EUR;Albania;2002;1;62.78
EUR;Albania;2002;7;67.75
EUR;Albania;2003;1;67.06
EUR;Albania;2003;7;74.40
EUR;Albania;2004;1;74.90
EUR;Albania;2004;7;87.76
EUR;Albania;2005;1;85.48
EUR;Albania;2005;7;95.22
EUR;Albania;2006;1;96.26
EUR;Albania;2006;7;113.57
EUR;Albania;2007;1;113.04
EUR;Albania;2007;7;114.91
EUR;Albania;2008;1;131.38
EUR;Albania;2008;7;139.29
EUR;Albania;2009;1;137.32
EUR;Albania;2009;7;137.66
EUR;Albania;2010;1;130.47
EUR;Albania;2010;7;139.25
EUR;Albania;2011;1;136.92
EUR;Albania;2011;7;141.43
EUR;Albania;2012;1;143.96
EUR;Albania;2012;7;151.99
EUR;Albania;2013;1;150.44
EUR;Albania;2013;7;156.07
EUR;Albania;2014;1;156.92
EUR;Albania;2014;7;156.85
EUR;Albania;2015;1;156.99
EUR;Albania;2015;7;156.82
EUR;Albania;2016;1;160.26
EUR;Albania;2016;7;160.20
EUR;Albania;2017;1;162.69
EUR;Albania;2017;7;181.01
EUR;Albania;2018;1;180.52
EUR;Albania;2018;7;190.58
EUR;Albania;2019;1;210.66
EUR;Albania;2019;7;211.99
EUR;Albania;2020;1;213.45
EUR;Albania;2020;7;209.10
EUR;Albania;2021;1;242.52
EUR;Albania;2021;7;244.56
EUR;Albania;2022;1;248.43
EUR;Austria;1999;1;
EUR;Austria;1999;7;
EUR;Austria;2000;1;
EUR;Austria;2000;7;
EUR;Austria;2001;1;
EUR;Austria;2001;7;
EUR;Austria;2002;1;
EUR;Austria;2002;7;
EUR;Austria;2003;1;
EUR;Austria;2003;7;
EUR;Austria;2004;1;
EUR;Austria;2004;7;
EUR;Austria;2005;1;
EUR;Austria;2005;7;
EUR;Austria;2006;1;
EUR;Austria;2006;7;
EUR;Austria;2007;1;
EUR;Austria;2007;7;
EUR;Austria;2008;1;
EUR;Austria;2008;7;
EUR;Austria;2009;1;
EUR;Austria;2009;7;
EUR;Austria;2010;1;
EUR;Austria;2010;7;
EUR;Austria;2011;1;
EUR;Austria;2011;7;
EUR;Austria;2012;1;
EUR;Austria;2012;7;
EUR;Austria;2013;1;
EUR;Austria;2013;7;
EUR;Austria;2014;1;
EUR;Austria;2014;7;
EUR;Austria;2015;1;
EUR;Austria;2015;7;
EUR;Austria;2016;1;
EUR;Austria;2016;7;
EUR;Austria;2017;1;
EUR;Austria;2017;7;
EUR;Austria;2018;1;
EUR;Austria;2018;7;
EUR;Austria;2019;1;
EUR;Austria;2019;7;
EUR;Austria;2020;1;
EUR;Austria;2020;7;
EUR;Austria;2021;1;
EUR;Austria;2021;7;
EUR;Belgium;1999;1;1074.44
EUR;Belgium;1999;7;1095.89
EUR;Belgium;2000;1;1095.89
EUR;Belgium;2000;7;1095.89
EUR;Belgium;2001;1;1117.88
EUR;Belgium;2001;7;1140.24
EUR;Belgium;2002;1;1140.24
EUR;Belgium;2002;7;1163.02
EUR;Belgium;2003;1;1163.02
EUR;Belgium;2003;7;1186.31
EUR;Belgium;2004;1;1186.31
EUR;Belgium;2004;7;1186.31
EUR;Belgium;2005;1;1210.00
EUR;Belgium;2005;7;1210.00
EUR;Belgium;2006;1;1234.00
EUR;Belgium;2006;7;1234.00
EUR;Belgium;2007;1;1259.00
EUR;Belgium;2007;7;1283.00
EUR;Belgium;2008;1;1309.60
EUR;Belgium;2008;7;1335.80
EUR;Belgium;2009;1;1387.50
EUR;Belgium;2009;7;1387.50
EUR;Belgium;2010;1;1387.50
EUR;Belgium;2010;7;1387.50
EUR;Belgium;2011;1;1415.24
EUR;Belgium;2011;7;1443.54
EUR;Belgium;2012;1;1443.54
EUR;Belgium;2012;7;1472.42
EUR;Belgium;2013;1;1501.82
EUR;Belgium;2013;7;1501.82
EUR;Belgium;2014;1;1501.82
EUR;Belgium;2014;7;1501.82
EUR;Belgium;2015;1;1501.82
EUR;Belgium;2015;7;1501.82
EUR;Belgium;2016;1;1501.82
EUR;Belgium;2016;7;1531.93
EUR;Belgium;2017;1;1531.93
EUR;Belgium;2017;7;1562.59
EUR;Belgium;2018;1;1562.59
EUR;Belgium;2018;7;1562.59
EUR;Belgium;2019;1;1593.81
EUR;Belgium;2019;7;1593.81
EUR;Belgium;2020;1;1593.81
EUR;Belgium;2020;7;1625.72
EUR;Belgium;2021;1;1625.72
EUR;Belgium;2021;7;1625.72
EUR;Belgium;2022;1;1658.23
EUR;Bulgaria;1999;1;31.19
EUR;Bulgaria;1999;7;34.26
EUR;Bulgaria;2000;1;34.26
EUR;Bulgaria;2000;7;38.35
EUR;Bulgaria;2001;1;40.42
EUR;Bulgaria;2001;7;43.65
EUR;Bulgaria;2002;1;51.38
EUR;Bulgaria;2002;7;51.24
EUR;Bulgaria;2003;1;56.28
EUR;Bulgaria;2003;7;56.52
EUR;Bulgaria;2004;1;61.36
EUR;Bulgaria;2004;7;61.35
EUR;Bulgaria;2005;1;76.69
EUR;Bulgaria;2005;7;76.69
EUR;Bulgaria;2006;1;81.79
EUR;Bulgaria;2006;7;81.81
EUR;Bulgaria;2007;1;92.03
EUR;Bulgaria;2007;7;92.03
EUR;Bulgaria;2008;1;112.49
EUR;Bulgaria;2008;7;112.49
EUR;Bulgaria;2009;1;122.71
EUR;Bulgaria;2009;7;122.71
EUR;Bulgaria;2010;1;122.71
EUR;Bulgaria;2010;7;122.71
EUR;Bulgaria;2011;1;122.71
EUR;Bulgaria;2011;7;122.71
EUR;Bulgaria;2012;1;138.05
EUR;Bulgaria;2012;7;148.28
EUR;Bulgaria;2013;1;158.50
EUR;Bulgaria;2013;7;158.50
EUR;Bulgaria;2014;1;173.84
EUR;Bulgaria;2014;7;173.84
EUR;Bulgaria;2015;1;184.07
EUR;Bulgaria;2015;7;194.29
EUR;Bulgaria;2016;1;214.75
EUR;Bulgaria;2016;7;214.75
EUR;Bulgaria;2017;1;235.20
EUR;Bulgaria;2017;7;235.20
EUR;Bulgaria;2018;1;260.76
EUR;Bulgaria;2018;7;260.76
EUR;Bulgaria;2019;1;286.33
EUR;Bulgaria;2019;7;286.33
EUR;Bulgaria;2020;1;311.89
EUR;Bulgaria;2020;7;311.89
EUR;Bulgaria;2021;1;332.34
