,country,Year,OBS_VALUE,value
0,Albania,2000,46.98,
1,Albania,2001,52.8,0.1238825031928481
2,Albania,2002,62.78,0.1890151515151517
3,Albania,2003,67.06,0.06817457789104808
4,Albania,2004,74.9,0.1169102296450939
5,Albania,2005,85.48,0.14125500667556734
6,Albania,2006,96.26,0.12611137108095472
7,Albania,2007,113.04,0.17431955121545806
8,Albania,2008,131.38,0.16224345364472748
9,Albania,2009,137.32,0.045212361089967956
10,Albania,2010,130.47,-0.049883483833381814
11,Albania,2011,136.92,0.04943665210393178
12,Albania,2012,143.96,0.051416885772714194
13,Albania,2013,150.44,0.04501250347318697
14,Albania,2014,156.92,0.043073650624833704
15,Albania,2015,156.99,0.00044608717818017674
16,Albania,2016,160.26,0.020829352188037387
17,Albania,2017,162.69,0.015162860351928265
18,Albania,2018,180.52,0.10959493515274454
19,Albania,2019,210.66,0.16696210946155543
20,Albania,2020,213.45,0.013244090002848097
21,Albania,2021,242.52,0.13619114546732258
22,Albania,2022,248.43,0.024369124195942504
23,Austria,1999,,
24,Austria,2000,,
25,Austria,2001,,
26,Austria,2002,,
27,Austria,2003,,
28,Austria,2004,,
29,Austria,2005,,
30,Austria,2006,,
31,Austria,2007,,
32,Austria,2008,,
33,Austria,2009,,
34,Austria,2010,,
35,Austria,2011,,
36,Austria,2012,,
37,Austria,2013,,
38,Austria,2014,,
39,Austria,2015,,
40,Austria,2016,,
41,Austria,2017,,
42,Austria,2018,,
43,Austria,2019,,
44,Austria,2020,,
45,Austria,2021,,
46,Belgium,1999,1074.44,
47,Belgium,2000,1095.89,0.019963888164997723
48,Belgium,2001,1117.88,0.02006588252470598
49,Belgium,2002,1140.24,0.020002146920957475
50,Belgium,2003,1163.02,0.01997825019294175
51,Belgium,2004,1186.31,0.02002545098106645
52,Belgium,2005,1210.0,0.019969485210442617
53,Belgium,2006,1234.0,0.01983471074380172
54,Belgium,2007,1259.0,0.020259319286871857
55,Belgium,2008,1309.6,0.04019062748212865
56,Belgium,2009,1387.5,0.059483811850946866
57,Belgium,2010,1387.5,0.0
58,Belgium,2011,1415.24,0.019992792792792757
59,Belgium,2012,1443.54,0.019996608349113876
60,Belgium,2013,1501.82,0.040372971999390384
61,Belgium,2014,1501.82,0.0
62,Belgium,2015,1501.82,0.0
63,Belgium,2016,1501.82,0.0
64,Belgium,2017,1531.93,0.020049007204591796
65,Belgium,2018,1562.59,0.020013969306691415
66,Belgium,2019,1593.81,0.019979649172207736
67,Belgium,2020,1593.81,0.0
68,Belgium,2021,1625.72,0.02002120704475452
69,Belgium,2022,1658.23,0.019997293506876845
70,Bulgaria,1999,31.19,
71,Bulgaria,2000,34.26,0.0984289836486052
72,Bulgaria,2001,40.42,0.17980151780502052
73,Bulgaria,2002,51.38,0.2711528946066304
74,Bulgaria,2003,56.28,0.0953678474114441
75,Bulgaria,2004,61.36,0.0902629708599858
76,Bulgaria,2005,76.69,0.24983702737940017
77,Bulgaria,2006,81.79,0.06650149954361728
78,Bulgaria,2007,92.03,0.1251986795451765
79,Bulgaria,2008,112.49,0.22231880908399426
80,Bulgaria,2009,122.71,0.09085252022402002
81,Bulgaria,2010,122.71,0.0
82,Bulgaria,2011,122.71,0.0
83,Bulgaria,2012,138.05,0.12501018661885754
